73,73,24.993,24.169,28.396,36.467,48.194,48.537,43.126,46.231,40.482,73,73,27.067,28.073,31.426,36.745,43.416,47.838,44.562,46.729,38.192,73,73,10.286,12.1,24.451,37.217,46.503,51.011,56.837,47.361,38.664
74,74,30.145,25.763,28.6,37.06,51.509,50.982,44.674,45.519,42.95,74,74,30.695,29.635,27.785,34.38,44.122,48.001,47.026,45.441,38.561,74,74,11.873,20.453,27.418,36.375,47.925,51.831,58.19,47.399,38.857
75,75,29.708,28.075,27.107,39.021,50.835,50.295,43.244,46.235,39.218,75,75,28.645,36.059,35.57,36.8,45.031,49.925,44.882,46.083,37.574,75,75,8.0899,19.06,29.299,39.15,49.728,50.781,56.077,46.23,38.236
76,76,27.515,27.903,28.451,36.309,48.194,48.317,45.139,46.351,43.563,76,76,35.475,30.645,28.35,37.599,45.377,50.818,47.269,46.897,38.835,76,76,17.021,13.398,31.741,37.082,45.946,50.908,58.885,49.562,38.835
77,77,31.47,26.654,31.511,38.838,46.852,49.375,46.622,47.102,39.117,77,77,36.338,29.553,25.311,35.822,45.478,50.501,47.925,47.142,37.338,77,77,16.688,17.276,27.4,37.475,46.641,53.93,60.862,51.135,39.204
78,78,16.032,29.455,31.042,33.468,51.527,52.251,46.984,46.693,43.165,78,78,25.821,31.626,34.664,37.239,46.496,48.274,46.938,47.44,38.401,78,78,9.1238,16.96,28.116,37.774,50.099,51.94,60.927,52.172,38.943
79,79,18.945,29.093,30.746,31.96,52.488,53.046,47.993,50.747,40.831,79,79,34.6,36.612,35.815,33.796,46.659,52.403,48.523,50.026,38.85,79,79,15.707,20.988,27.693,39.638,48.512,53.839,62.799,54.587,38.943
80,80,31.378,28.716,30.368,37.488,54.456,53.726,47.173,47.288,43.427,80,80,39.207,29.061,28.21,35.339,47.165,51.875,48.643,48.032,38.559,80,80,24.098,20.974,27.562,40.886,49.579,52.565,63.242,53.554,39.34
81,81,28.886,22.196,29.809,35.744,52.178,52.205,48.406,48.72,39.976,81,81,30.543,22.214,29.385,38.92,51.423,58.455,48.94,47.917,38.202,81,81,18.362,21.156,28.754,38.062,49.749,54.663,62.619,54.722,38.565
82,82,17.17,22.603,29.571,38.044,51.669,51.939,48.17,49.476,43.437,82,82,32.044,23.361,36.814,35.284,48.225,54.204,48.963,49.469,39.383,82,82,16.275,16.905,28.746,35.02,45.838,53.21,63.896,55.13,39.856
83,83,31.099,36.612,29.955,43.009,58.032,58.21,51.59,47.311,40.211,83,83,37.091,41.059,34.901,40.26,50.13,54.895,49.897,48.459,38.815,83,83,17.829,21.802,31.513,37.666,50.106,57.247,65.693,55.657,39.95
84,84,31.129,32.83,33.425,41.278,56.577,55.861,48.32,48.179,43.549,84,84,41.468,33.751,33.019,38.301,52.565,57.789,50.094,47.633,39.907,84,84,23.772,22.122,29.755,39.177,53.546,57.459,63.87,53.179,39.59
85,85,31.76,25.708,31.894,43.778,60.765,62.862,51.125,47.799,40.325,85,85,33.105,27.112,29.671,42.389,53.496,57.505,50.249,47.876,38.769,85,85,19.616,20.115,24.399,40.789,53.698,58.643,64.74,52.878,39.28
86,86,31.811,23.282,31.832,46.123,62.895,63.043,55.732,47.356,43.158,86,86,35.965,32.257,32.733,41.212,54.538,61.278,53.641,49.748,39.884,86,86,16.163,20.871,30.652,41.443,54.738,62.885,65.864,52.855,39.527
87,87,26.212,19.315,32.051,46.308,63.967,66.974,58.826,50.172,41.591,87,87,31.929,33.808,31.012,49.212,59.055,65.741,53.848,50.463,40.594,87,87,16.921,20.833,33.662,46.594,57.621,62.06,67.977,53.78,39.781
88,88,20.326,25.48,27.45,45.612,63.349,65.325,61.41,48.204,43.364,88,88,27.98,26.094,29.374,45.065,59.241,66.278,54.534,48.864,40.59,88,88,13.413,18.912,28.582,50.648,62.05,62.767,67.012,52.239,39.87
89,89,23.725,22.966,34.967,54.81,69.908,71.478,62.671,49.903,41.686,89,89,32.442,32.902,33.303,45.59,64.354,70.516,57.39,52.927,41.946,89,89,16.734,20.846,29.846,43.603,62.306,66.794,68.955,54.322,40.143
